\# Annotated examples,Approach,\# n_train_column_tasd,\# n_train_column_asqp,rest15_tasd_precision,rest15_asqp_precision,rest16_tasd_precision,rest16_asqp_precision,flightabsa_tasd_precision,flightabsa_asqp_precision,coursera_tasd_precision,coursera_asqp_precision,hotels_tasd_precision,hotels_asqp_precision,tasd_avg,asqp_avg
0,['0-shot Gemma'],0,0,29.411764705882355,23.35195530726257,44.493882091212456,27.75229357798165,47.55134281200632,39.7037037037037,26.949152542372882,11.949685534591195,37.12230215827338,22.876712328767123,37.105688861949474,25.12687009046125
0,LLMA \textbackslash w Paraphrase,full,full,26.91211139836734,17.091320409473706,45.927724591694115,24.003317856177226,48.94990183651758,39.40830848738854,28.31715526025088,11.676877270553584,38.52941154039654,25.4142095891799,37.72726092544529,23.518806722554594
0,LLMA \textbackslash w DLO,full,full,24.439657740512015,17.207473874865393,45.684943066038656,24.615585300195725,47.41200187475942,39.05663822221253,27.517452604085456,11.482920793172118,37.98412575001993,23.83255200312047,36.6076362070831,23.239034038713246
10,['k-shot Gemma'],10,10,56.40050697084917,39.4124847001224,68.37606837606837,44.63869463869464,59.85130111524164,45.39249146757679,43.10722100656455,23.413566739606125,57.92988313856428,35.294117647058826,57.132996121457595,37.63027103861175
10,Paraphrase,10,10,10.721649484536083,1.6387337057728117,7.612566922160442,4.023517473429012,10.439276485788113,4.341085271317829,17.691521197007482,5.35,18.73922853770806,3.6573426737817067,13.040848525440037,3.8021358248602715
10,DLO,10,10,19.23384878318236,4.640274126145,13.265460779333512,5.487288879871331,19.01808785529716,6.146674125576067,25.45,5.034951702629283,18.836668824207866,3.6778268085777577,19.160813248404178,4.997403128559887
10,LLMA \textbackslash w Paraphrase,full,full,51.407482423793226,33.747665456044935,63.75029554099514,43.351452018235136,61.123531286348374,45.85291898258299,38.278787832995185,21.975584173446272,57.70228692720127,34.79953496607083,54.452476802266645,35.94543111927603
10,LLMA \textbackslash w DLO,full,full,50.327283374592945,35.541026466608955,63.50592826925337,43.847227611750284,61.28539850263687,45.627369262221315,38.8213899353678,22.790352368850307,56.068076639775065,33.104807055703596,54.0016153443252,36.18215655302689
10,EDA \textbackslash w Paraphrase,30,30,16.116838487972508,2.150621509111469,8.921576706751459,10.816473877293406,12.764857881136951,5.5813953488372094,19.95,7.45,25.261811251364456,4.244888824085794,16.603016865445074,6.048675911865575
10,EDA \textbackslash w Paraphrase,60,60,27.320836021975186,9.64877003530623,17.890281389264125,12.103880030746723,22.790697674418603,12.765792046419833,25.65588816689285,10.528398026328693,27.503085953466655,6.278265352666691,24.23215784120348,10.265021098293634
