\# Annotated examples,Approach,\# n_train_column_tasd,\# n_train_column_asqp,rest15_tasd_f1_macro,rest15_asqp_f1_macro,rest16_tasd_f1_macro,rest16_asqp_f1_macro,flightabsa_tasd_f1_macro,flightabsa_asqp_f1_macro,coursera_tasd_f1_macro,coursera_asqp_f1_macro,hotels_tasd_f1_macro,hotels_asqp_f1_macro,tasd_avg,asqp_avg
0,['0-shot Gemma'],0,0,33.68296454299905,23.639517120547232,45.93540718464001,23.636457101145094,55.2395506265144,39.50064599748562,33.78326131338017,13.229913043029914,29.696821185743644,18.49240645418393,39.66760097065545,23.69978794327836
0,LLMA \textbackslash w Paraphrase,full,full,22.876679625196964,19.933546976487523,35.83656799158837,26.20135689149422,45.94785140113303,33.61009741783478,11.850261142246753,4.087686154347492,16.20325361368561,12.436417864928796,26.542922754770142,19.253821061018563
0,LLMA \textbackslash w DLO,full,full,24.121301890752857,21.02093896234098,36.11657136739536,29.162905660649365,45.36881577355571,36.31558568149306,12.100185684125094,3.7041349353203143,17.175781097816564,13.10428669290637,26.976531162729117,20.661570386542017
10,['k-shot Gemma'],10,10,54.533422616363346,38.66750682545133,64.33021930533336,43.213794034807115,56.321009710189784,36.583710397141786,41.749528420142816,20.4411446282295,31.154213636218913,18.05387552414685,49.61767873764964,31.39200628195532
10,Paraphrase,10,10,3.471115334663277,0.46161019364222505,2.590951368318546,0.8728934231848904,2.3798380899558915,1.0266580871000792,2.168499258954241,0.6645326376674647,2.6454447484686354,0.46952855378235575,2.651169760072118,0.6990445790754032
10,DLO,10,10,6.095803781167264,1.4190338956440798,6.012031557886926,1.2538176251290143,4.739594404080284,1.35325096463666,3.3302804724758426,0.6049622810107467,4.098271338506473,0.8270457936030805,4.855196310823358,1.0916221120047163
10,LLMA \textbackslash w Paraphrase,full,full,34.169049639335164,23.98329646490585,48.585243500993286,34.59073879226382,51.19560132390036,36.29275455934128,17.00653811967813,8.53638690270478,26.90482179977325,19.189233775606187,35.57225087673604,24.518482098964384
10,LLMA \textbackslash w DLO,full,full,35.029169983387945,26.767016727262916,50.386102876748474,36.24536840053163,53.18775672559195,39.01139420810258,17.136883559935903,9.376324039787338,29.017108699115187,18.180098363572487,36.95140436895589,25.91604034785139
10,EDA \textbackslash w DLO,110,110,11.326771675329919,5.5654986355611715,7.940834469525656,2.222500700553936,8.048876253947048,3.6440898069504284,4.218857484260352,2.021758522820067,5.485839662942342,2.2729876159166245,7.404235909201065,3.1453670563604454
10,QAIE,26.4,45.2,14.855062912376358,5.37398499838533,7.842293688527444,14.289805117373344,12.018949195787552,6.9988773384750615,4.300442187186428,1.8992348312812488,3.5180008860674947,2.856743500546031,8.506949773989056,6.2837291572122025
10,DS2,"21,1k","21,1k",18.825999016520978,12.17128997437831,26.681252636079044,15.597480294161178,22.662024593048958,13.038150210237154,9.651656597051211,3.166712202214016,16.974053227036485,7.886233010574666,18.958997213947335,10.371973138313063
50,['k-shot Gemma'],50,50,56.00800396582436,36.00643766939098,64.81374247712652,44.5646311645416,54.061763941334306,36.666579300258725,38.23972593817317,17.803926635325872,35.47004001974755,25.24318219352109,49.71865526844118,32.056951392607644
50,Paraphrase,50,50,19.75354934518388,14.048334589133294,16.35103975307295,8.348968346317989,12.431128658606724,7.227885706622381,9.586769488686322,2.994512128031994,13.874347276866294,7.544792641811945,14.399366904483234,8.032898682383522
50,DLO,50,50,27.775301459732624,18.098541896206182,22.463731027442098,13.051944946968685,28.895839842455644,19.71330286483427,8.678341172562002,3.106348209041672,16.49591536406368,9.743340309712329,20.86182577325121,12.742695645352628
50,LLMA \textbackslash w Paraphrase,full,full,35.73884587356936,26.567966859589234,48.33779882787342,31.008575147798627,52.87945677258826,36.65266127972747,17.9554646572627,7.365152904495351,28.20094658828902,19.788085842803063,36.62250254391655,24.27648840688275
50,LLMA \textbackslash w DLO,full,full,41.64035633347403,28.42108757071653,49.366670354921936,37.36851715731534,52.16861308258859,40.87536287158739,18.07430304227595,8.099663060549956,30.19205123928531,22.59083564465344,38.288398810509165,27.47109326096453
50,EDA \textbackslash w DLO,550,550,27.351028974476367,17.6072991742093,22.377999250571587,16.124642008636375,33.70715733117517,24.74387133108677,12.22197419694337,5.715380609063263,15.849559151731267,13.07201610607423,22.30154378097955,15.452641845813986
50,QAIE,141.8,248.8,44.80863504641161,30.844815543538978,45.49806884811535,32.23352421552002,37.409261720627626,22.29380127875261,20.785343506120565,10.203489508961358,24.19351598526302,18.50920450745966,34.53896502130763,22.816967010846525
50,DS2,"21,7k","21,6k",24.953627327528018,18.138274358103253,31.428822452177734,21.80906484467159,28.516281099776705,17.922683068584398,11.85664123784898,4.6880938703152015,18.34902504980176,13.056934473213904,23.020879433426636,15.12301012297767
full,Paraphrase,full,full,-,-,-,-,58.47790045882378,48.47193507757888,30.66978913444808,15.662225242749301,37.48991655076668,30.31316034730463,42.21253538134618,31.48244022254427
full,DLO,full,full,-,-,-,-,57.240923040924805,49.406815250015505,32.24531852547761,14.912462993818787,38.142934633331855,33.0355221284754,42.543058733244756,32.45160012410323
